playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
bergewa01,NULL,NULL,5163,NULL,NULL,NULL,NULL,NULL,38,69,435,1550,27,0,299,59,36,898,694,1350,NULL,809,0
bergmo01,NULL,NULL,1813,NULL,NULL,NULL,NULL,NULL,9,1,78,441,61,0,71,6,11,206,117,663,NULL,150,0
berrayo01,NULL,NULL,7555,NULL,NULL,NULL,NULL,NULL,52,146,704,2150,9,49,321,49,30,1430,414,2120,NULL,1175,1
berrych02,NULL,NULL,2018,NULL,NULL,NULL,NULL,NULL,5,0,160,539,34,0,88,29,13,256,196,709,NULL,196,0
berryke01,NULL,NULL,4136,NULL,NULL,NULL,NULL,NULL,30,108,298,1053,64,31,150,23,45,343,569,1384,NULL,422,0
bibbyji01,40,19,209,101,8,39,56,800,3,1,13,31,24,0,6,0,0,17,88,341,111,15,0
bicheda01,NULL,NULL,6381,NULL,NULL,NULL,NULL,NULL,41,176,355,1906,5,32,401,27,152,1141,1078,1704,NULL,934,0
bigbeca01,NULL,NULL,4192,NULL,NULL,NULL,NULL,NULL,21,0,344,1205,109,0,139,75,182,324,161,1147,NULL,629,0
biggicr01,NULL,NULL,10876,NULL,NULL,NULL,NULL,NULL,285,150,1160,3060,101,68,668,55,414,1175,1753,2850,NULL,1844,1
billija01,98,27,559,113,15,83,74,1069,0,10,27,62,69,0,8,0,0,23,206,476,145,21,0
bishoma01,NULL,NULL,4494,NULL,NULL,NULL,NULL,NULL,31,0,1153,1216,98,0,236,35,43,379,452,1338,NULL,966,0
blackew01,44,15,443,78,10,49,69,562,0,8,12,77,28,0,12,1,0,22,73,237,82,31,0
bladera01,NULL,NULL,2415,NULL,NULL,NULL,NULL,NULL,47,0,331,726,53,0,133,51,33,340,310,767,NULL,467,0
blairpa01,NULL,NULL,6042,NULL,NULL,NULL,NULL,NULL,23,126,449,1513,108,23,282,55,171,620,877,1947,NULL,776,0
blakeca01,NULL,NULL,4500,NULL,NULL,NULL,NULL,NULL,72,107,445,1186,27,37,264,18,36,616,1037,1265,NULL,644,0
blassst01,38,16,546,76,2,14,57,739,0,6,11,94,40,0,7,3,0,37,140,295,103,42,0
